YC Link,Active Founders,Founders LinkedIn Link,Status,Website,Primary Partner,Founded Year,Team Size,Batch,Location
https://www.ycombinator.com/companies/ai-2,,https://www.linkedin.com/in/caleb-m-harris; https://linkedin.com/in/herbert-turner-1b511b238; https://www.linkedin.com/in/caleb-m-harris/; https://www.linkedin.com/in/herbert-turner-1b511b238/; https://www.linkedin.com/company/and-ai/; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,David Lieb,2024,13,Summer 2024,San Francisco
https://www.ycombinator.com/companies/10-by-10,,https://www.linkedin.com/in/aprilschang/; https://www.linkedin.com/in/robertbartruff; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,,5,Summer 2017,San Francisco
https://www.ycombinator.com/companies/1000memories,,https://www.linkedin.com/in/bretthuneycutt; https://www.linkedin.com/in/rudyadler; https://www.linkedin.com/school/y-combinator/,Acquired,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,,2,Summer 2010,San Francisco
https://www.ycombinator.com/companies/100x,,https://in.linkedin.com/in/shardul-lavekar-96049414; https://www.linkedin.com/in/parth-mudgal-8129604a; https://www.linkedin.com/company/104098465; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,Dalton Caldwell,2024,3,Summer 2022,"Bengaluru, India"
https://www.ycombinator.com/companies/14.ai,,https://www.linkedin.com/company/hireart; https://www.linkedin.com/in/nick-sedlet; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,2012,90,Winter 2012,New York
https://www.ycombinator.com/companies/1849-bio,,https://linkedin.com/in/jai-padmakumar; https://www.linkedin.com/in/yongjin-park-6604092a/; https://www.linkedin.com/company/1849-bio/; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,2024,3,Summer 2024,San Francisco
https://www.ycombinator.com/companies/1910-genetics,,http://www.linkedin.com/in/jennwankwophd; https://www.linkedin.com/company/1910genetics; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,2018,25,Winter 2019,Boston
https://www.ycombinator.com/companies/1stcollab,,https://www.linkedin.com/in/leonqlin/; https://www.linkedin.com/in/bansalvarunb/; https://www.linkedin.com/in/zeyuliu/; https://www.linkedin.com/company/1stcollab; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,Gustaf Alstromer,2022,11,Winter 2023,San Francisco
https://www.ycombinator.com/companies/20n,,https://www.linkedin.com/in/saurabh-sriv/; https://www.linkedin.com/profile/view?id=337176962; https://www.linkedin.com/school/y-combinator/,Inactive,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,,2,Winter 2015,San Francisco
https://www.ycombinator.com/companies/222,,https://linkedin.com/in/kaaazemian; https://www.linkedin.com/in/danialhashemi/; https://www.linkedin.com/in/arman-roshannai/; https://www.linkedin.com/company/222place/; https://www.linkedin.com/school/y-combinator/,Active,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,Aaron Epstein,2023,16,Winter 2023,New York
https://www.ycombinator.com/companies/280-north,,https://www.linkedin.com/in/jason-konrad; https://www.linkedin.com/in/tolmasky; https://www.linkedin.com/school/y-combinator/,Acquired,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,,11,Winter 2008,San Francisco
